         30372981 function calls (30365541 primitive calls) in 35.662 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      418    0.007    0.000    0.047    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:389(__init__)
      418    0.005    0.000    0.046    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:623(reindex_indexer)
    26607    0.046    0.000    0.046    0.000 {method 'format' of 'str' objects}
      418    0.041    0.000    0.043    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:113(comp_method_OBJECT_ARRAY)
   159612    0.041    0.000    0.041    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\common.py:152(cast_scalar_indexer)
      418    0.002    0.000    0.038    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:687(<listcomp>)
    59996    0.038    0.000    0.038    0.000 {method 'popitem' of 'collections.OrderedDict' objects}
   173463    0.037    0.000    0.037    0.000 {built-in method builtins.abs}
   422504    0.036    0.000    0.036    0.000 {method 'get' of 'dict' objects}
      418    0.001    0.000    0.035    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:2632(check_bool_indexer)
   261693    0.035    0.000    0.035    0.000 {method 'append' of 'list' objects}
      836    0.003    0.000    0.034    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\blocks.py:1287(take_nd)
   317548    0.034    0.000    0.034    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:2570(_validate_tz_from_dtype)
   119992    0.030    0.000    0.030    0.000 {method 'lower' of 'str' objects}
   119992    0.030    0.000    0.030    0.000 {method 'keys' of 'dict' objects}
      836    0.002    0.000    0.029    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\array_algos\take.py:59(take_nd)
    38116    0.024    0.000    0.028    0.000 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:595(add_entry)
   317967    0.028    0.000    0.028    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\typing.py:2268(cast)
    29998    0.018    0.000    0.027    0.000 C:\Users\hjmne\PycharmProjects\chest\bookkeeping.py:1166(get_position_space)
      836    0.016    0.000    0.027    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
      418    0.004    0.000    0.027    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexers\utils.py:419(check_array_indexer)
      946    0.003    0.000    0.027    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4614(_get_item_cache)
    71149    0.023    0.000    0.027    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\csv.py:93(fieldnames)
      126    0.026    0.000    0.027    0.000 {built-in method builtins.max}
   158774    0.024    0.000    0.024    0.000 C:\Users\hjmne\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arrays\datetimes.py:551(dtype)
    29998    0.023    0.000    0.023    0.000 C:\Users\hjmne\PycharmProjects\chest\currency_domain.py:29(<listcomp>)
    89994    0.023    0.000    0.023    0.000 C:\Users\hjmne\PycharmProjects\chest\utilities.py:153(check_same_sign)
    29998    0.022    0.000    0.022    0.000 {built-in method builtins.sum}
